Va,Vb,Vc,Ia,Ib,Ic,Distance,Resistance,Label
14471.2836970616,14471.3940333177,14471.4203478773,6.02375766413961,6.02984800177363,6.03633689379528,25,5.0,0
14471.2836970616,14471.3940333177,14471.4203478773,6.02375766413961,6.02984800177363,6.03633689379528,25,10.0,0
14471.2836970616,14471.3940333177,14471.4203478773,6.02375766413961,6.02984800177363,6.03633689379528,25,20.0,0
14471.2836970616,14471.3940333177,14471.4203478773,6.02375766413961,6.02984800177363,6.03633689379528,25,50.0,0
14471.2836970616,14471.3940333177,14471.4203478773,6.02375766413961,6.02984800177363,6.03633689379528,25,80.0,0
14471.2836970616,14471.3940333177,14471.4203478773,6.02375766413961,6.02984800177363,6.03633689379528,25,100.0,0
14471.2844260713,14471.3948616923,14471.4211682732,6.02390138107126,6.03000434321614,6.03649514148459,30,0.001,0
14471.2844260713,14471.3948616923,14471.4211682732,6.02390138107126,6.03000434321614,6.03649514148459,30,1.0,0
14471.2844260713,14471.3948616923,14471.4211682732,6.02390138107126,6.03000434321614,6.03649514148459,30,5.0,0
14471.2844260713,14471.3948616923,14471.4211682732,6.02390138107126,6.03000434321614,6.03649514148459,30,10.0,0
14471.2844260713,14471.3948616923,14471.4211682732,6.02390138107126,6.03000434321614,6.03649514148459,30,20.0,0
14471.2844260713,14471.3948616923,14471.4211682732,6.02390138107126,6.03000434321614,6.03649514148459,30,50.0,0
14471.2844260713,14471.3948616923,14471.4211682732,6.02390138107126,6.03000434321614,6.03649514148459,30,80.0,0
14471.2844260713,14471.3948616923,14471.4211682732,6.02390138107126,6.03000434321614,6.03649514148459,30,100.0,0
14471.2849799061,14471.3955082796,14471.4218072558,6.02401154565689,6.03012636960981,6.03661886280139,35,0.001,0
14471.2849799061,14471.3955082796,14471.4218072558,6.02401154565689,6.03012636960981,6.03661886280139,35,1.0,0
14471.2849799061,14471.3955082796,14471.4218072558,6.02401154565689,6.03012636960981,6.03661886280139,35,5.0,0
14471.2849799061,14471.3955082796,14471.4218072558,6.02401154565689,6.03012636960981,6.03661886280139,35,10.0,0
14471.2849799061,14471.3955082796,14471.4218072558,6.02401154565689,6.03012636960981,6.03661886280139,35,20.0,0
